Work Type,Work Order #,Address,Street,Cross Street,Results,Completion Date,Work Order Date
SEWER MAINTENANCE,2015001864,,CULVER AVE,WEST VIEW CT,"CLEANED THE NE AND NW CATCH BASINS
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001865,,AUDUBON AVE,COLLEGE DR,"CLEANED THE NW AND NE CATCH BASINS
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001866,60 -85,COLLEGE ST,CULVER AVE,"CLEANED THREE (3) CATCH BASINS.
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001867,,CULVER AVE,TOWERS ST,"CLEANED THE SE CATCH BASIN
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001870,,PEARL ST,WASHINGTON ST,"CLEANED AND SHOVELED THE CATCH BASIN.
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001871,,STEUBAN ST,WASHINGTON ST,"ON 3-17-15 CLEANED THE SOUTH CATCH BASIN.  ON 3-18-15 CLEANED THE EAST AND WEST CATCH BASINS
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015002873,,AVENUE C,,"JETTED AND VACUUMED THE SEWER
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001687,449,HOBOKEN AVE,,"RESET THE MANHOLE COVER.
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015002195,16,OCEAN AVE,,REMOVED SAND AND PAVERS FROM OVER MANHOLE.  ,3/18/2015,3/18/2015
SEWER MAINTENANCE,2015002207,1,DALES AVE,,"JETTED AND VACUUMED THE SEWER TO RELEASE BLOCKAGE
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015002211,136,ARLINGTON AVE,,"JETTED AND VACUUMED THE SEWER
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015002226,,6TH ST,DIVISION ST,"MAIN SEWER IS FUNCTIONING PROPERLY
",3/18/2015,3/18/2015
SEWER MAINTENANCE,2015001549,243,LEXINGTON AVE,,"ON 3-16-15 CHECKED THE CATCH BASIN AND DETERMINED THAT IT NEEDS BRICKWORK.  ON 3-18-15 USED 32-BRICKS, 1-BAG OF CEMENT AND 20-SHOVELS OF SAND TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH BASIN.
",3/18/2015,3/16/2015
SEWER MAINTENANCE,2015001048,,BRAMHALL AVE,PACIFIC AVE,"ON 3-17-15 VACUUMED AND FLUSHED THE SEWER FOR MAINTENANCE.  ON 3-18-18 REMOVED STICKS AND BRICKS FROM INSIDE THE MANHOLE
",3/18/2015,2/24/2015
SEWER MAINTENANCE,2015000731,,CENTRAL AVE,GRACE ST,"VACUUMED AND FLUSHED THE SW CATCH BASIN.  USED 2-BLOCKS, 12-BRICKS AND 3-BAGS OF RAPID DRY CEMENT TO PERFORN THE NECESSARY BRICKWORK INSIDE THE SW CATCH BASIN
",3/19/2015,2/6/2015
SEWER MAINTENANCE,2015000994,119,NEWKIRK ST,,"VACUUMED AND FLUSHED THE SE CATCH BASIN.  USED 8-BLOCKS, 40-BRICKS, 1-BAG OF CEMENT AND 20-SHOVELS OF COLD PATCH TO PERFORM THE NECESSARY BRICKWORK INSIDE THE SE CATCH BASIN.
",3/19/2015,2/23/2015
SEWER MAINTENANCE,2015001804,33,CARLTON AVE,MONTROSE AVE,"JETTED AND FLUSHED THE SEWER
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001832,,NEPTUNE AVE,KENNEDY BLVD,"ON 3-12-15 JETTED AND VACUUMED THE SEWER.  ON 3-19-15 JETTED AND VACUUMED THE SEWER.
",3/19/2015,3/12/2015
SEWER MAINTENANCE,2015001917,,LEMBECK AVE,OCEAN AVE,"CLEANED THE SE, NE, SW AND NW CATCH BASINS
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001918,,MARTIN LUTHER KING DR,STEGMAN ST,"CLEANED THE NE CATCH BASIN
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001579,33,CARLTON AVE,MONTROSE AVE,"JETTED AND VACUUMED THE SEWER
",3/19/2015,3/17/2015
SEWER MAINTENANCE,2015001642,,SECAUCUS RD,, MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. REMOVED FLOATABLES DOWNSTREAM OF NETTING CHAMBER.  ,3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001643,,MANHATTEN AVE,,"MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. DELAY AT EXIT GATE. LEFT 1:27PM. LUNCH RETURNED TO WSP TO DUMP NETS, SENT CREW TO DO CHECKS. ",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001644,,SAINT PAULS AVE,,NO HANDRAIL. NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  ,3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001645,,VAN WINKLE AVE,,"NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  NO GRATING, HANDRAIL OR CONCRETE SLAB. NOTE: D",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001646,,VAN WINKLE AVE,,"NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  NO GRATING, HANDRAIL OR CONCRETE SLAB.  NOTE: ",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001647,,BROADWAY,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER. NO GRATING OR HANDRAIL ,3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001648,,BROADWAY,,"NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  NO GRATING, HANDRAIL OR CONCRETE SLAB. ",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001649,,SIP AVE,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  ,3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001650,,DUNCAN AVE,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF HINGE POINTS SHUTTER ALSO WASHED DOWN PIT & CHAMBER.  NO HANDRAIL OR CONCRETE SLAB. ,3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001777,,COMMUNIPAW AVE,SUYDAM AVE,"JETTED AND VACUUMED THE SEWER.  ALSO, JETTED THE CATCH BASIN
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001838,270 - 287,GATES AVE,KENNEDY BLVD,"ON 3-13-15 CLEANED BOTH CATCH BASINS.  ALSO, CLEANED THE NE CATCH BASIN.  ON 3-19-15 CLEANED THE NE CATCH BASIN


",3/19/2015,3/13/2015
SEWER MAINTENANCE,2015001868,,MONTGOMERY ST,WARREN ST,"ON 3-18-15 CLEANED THE NE CATCH BASIN.  ON 3-19-15 CLEANED THE EAST AND WEST CATCH BASINS
",3/19/2015,3/18/2015
SEWER MAINTENANCE,2015001869,7,OAKDALE RD,PINECREST RD,"CLEANED THE NW CATCH BASIN.  ALSO, JETTED THE CATCH BASIN AT 7 OAKDALE RD
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001873,135,LUIS MUNOZ MARIN BLVD,,"CLEANED THE CATCH BASIN
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001874,,BARROW ST,MONTGOMERY ST,"CLEANED THE NE AND SE CATCH BASINS
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001876,272,BRIGHT ST,,"CLEANED THE CATCH BASIN
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001877,,BRIGHT ST,CORNELISON AVE,"CLEANED THE NE AND SE CATCH BASINS
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001878,,OLD BERGEN RD,NEPTUNE AVE,"CLEANED THE NW AND SW CATCH BASINS

",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001879,,KENNEDY BLVD,PAMRAPO AVE,"CLEANED THE NE AND THE CATCH BASIN AT 95 PAMRAPO AVE
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001880,,COLLEGE ST,TOWERS ST,"CLEANED THE NE, SW AND NW CATCH BASINS
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001881,,CHAPEL AVE,OCEAN AVE,"CLEANED THE SE CATCH BASIN
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015003503,2,SUBURBIA TER,,"ON 3-17-15 CHECKED THE CATCH BASIN AND DETERMINED THAT IT NEEDS BRICKWORK.  ON 3-19-15 VACUUMED AND FLUSHED THE CATCH BASIN FOR THE CONSTRUCTION CREW.  USED 2-BLOCKS, 15-BRICKS AND 3-BGS OF RAPID CEMENT TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH ",3/19/2015,3/17/2015
SEWER MAINTENANCE,2015001450,,OCEAN AVE,WEGMAN PARKWAY,"CLEANED THE NE, NW, SE AND SW CATCH BASINS
",3/19/2015,3/13/2015
SEWER MAINTENANCE,2015003716,93,GARFIELD AVE,,"CCTV INSPECTION OF THE COMMON SEWER REVEALED NO FAULTS OR BREAK FROM THE WATER MAIN BREAK.
",3/19/2015,3/19/2015
SEWER MAINTENANCE,2015001805,20,SYCAMORE RD,,"JETTED AND VACUUMED THE SEWER
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001806,154 - 160,BLEECKER ST,,"JETTED AND VACUUMED MANHOLE 326 TO 356
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001807,79 - 87,CHARLES ST,,JETTED AND VACUUMED MANHOLE N1285 TO 1286,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001920,,BELMONT AVE,MONTICELLO AVE,"CLEANED THE NW AND SW CATCH BASINS
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001921,,FORREST ST,MARTIN LUTHER KING DR,"CLEANED THE NW CATCH BASIN
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001922,,CLAREMONT AVE,MARTIN LUTHER KING DR,"CLEANED THE SW CATCH BASIN
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001924,,LUDLOW ST,NEW ST,"CLEANED THE NW AND NE CATCH BASINS
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001926,,LINDEN AVE,OLD BERGEN RD,"CLEANED THE NE CATCH BASIN
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001931,,NEPTUNE AVE,OLD BERGEN RD,"CLEANED THE NE CATCH BASIN
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001932,,DWIGHT ST,OCEAN AVE,"CLEANED THE NW AND NE CATCH BASINS
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001933,,CRISTOPHER COLUMBUS DR,WARREN ST,"CLEANED THE NE AND SE CATCH BASINS
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001934,,BURMA RD,,"CLEANED SIX (6) CATCH BASINS AT THIS LOCATION.
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001664,,CLENDENNY AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NOTE: DELAYED VAC NEEDED M,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001665,,CLAREMONT AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NOTE: DELAYED VAC NEEDED M,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001666,,FISK ST,, NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NOTE: DELAYED VAC NEEDED ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001667,,MINA DR,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER HINGE POINTS ALSO WASHED DOWN PIT & CHAMBER.  NOTE: DELAYED VAC NEEDED M,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001669,,BROWN PL,,PLEASE PERFORM MAINTENANCE ON THE REGULATOR CHAMBER. NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER HINGE POINTS ALSO W,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001778,,15TH ST,JERSEY AVE,"VACUUMED AND FLUSHED THE SEWER.
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001655,,VAN WINKLE AVE,,"MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. RETURNED TO WSP TO DUMP NETS, DRAIN CONTAINER SENT CRE TO DO CHECKS BROADWAY, SIP, DUNCAN CLENDENNY AVE. ",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001656,,BROADWAY,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001657,,SIP AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. VERIFY WITH CREW. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001658,,DUNCAN AVE,,VERIFY IWTH CREW. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001659,,CLENDENNY AVE,, MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001660,,CLAREMONT AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001661,,FISK ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. PIT STOP SENT CREW TO MINA DR.  ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001662,,MINA DR,,CHAIN PENDING. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001663,,DANFORTH AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001689,97,MONITOR ST,,"OWNER MUST SEEK PLUMBER FOR THE PROBLEM.
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001690,113,BEACH ST,,"MAIN SEWER IS FUNCTIONING PROPERLY.  DYE TESTED THE CAVE-IN NEAR THE CURB, WHICH IS APPROXIMATELY 1 1/2 X 4-FT WIDE.  DYE DIDN'T SHOW IN THE MAIN SEWER.  THIS IS A FRESH EXCAVAGION THAT WAS DONE BY OTHER.  THIS IS NOT A SEWER RELATED ISSUE.
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015001454,,9TH ST,COLES ST,"USED 25-BRICKS AND 3-BAGS OF RAPID CEMENT TO PERFORM THE NECESSARY BRICKWORK INSIDE THE MANHOLE
",3/20/2015,3/13/2015
SEWER MAINTENANCE,2015001494,427,JERSEY AVE,,"JETTED AND VACUUMED THE SEWER
",3/20/2015,3/13/2015
SEWER MAINTENANCE,2015002212,,DICK ST,,"JETTED THE SEWER
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015002827,,PEARSALL AVE,KENNEDY BLVD,"JETTED AND VACUUMED THE SEWER
",3/20/2015,3/20/2015
SEWER MAINTENANCE,2015000983,103,GRAND ST,,"MAIN SEWER IS FUNCTIONING PROPERLY.
",3/20/2015,2/20/2015
SEWER MAINTENANCE,2015003389,,MARION GARDENS,,"JETTED THE SEWER TO RELEASE BLOCKAGE FOR THE HOUSING AUTHORITY
",3/22/2015,3/22/2015
SEWER MAINTENANCE,2015000724,216,CENTRAL AVE,FERRY ST,"ON 2-4-15 REMOVED OLD CURB PIECE AND BACKPLATE.  USED NEW BOLTS AND NUTS TO INSTALL NEW 4-INCH CURB PIECE.  ALSO, INSTALLED NEW BACKPLATE.  THE SIDEWALK STILL NEEDS TO BE CEMENTED.  ON 3-23-15 VACUUMED THE CATCH BASIN.  USED 3-BLOCKS, 3-BRICKS, 1-BAG OF C",3/23/2015,2/6/2015
SEWER MAINTENANCE,2015001808,2,DALES AVE,,"CLEANED THE SEWER FOR THE JC HOUSING AUTHORITY
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001927,,LEMBECK AVE,OLD BERGEN RD,"ON 3-20-15 CLEANED THE NE CATCH BASIN.  ON 3-23-15 CLEANED THE NW AND SW CATCH BASINS.

",3/23/2015,3/20/2015
SEWER MAINTENANCE,2015001928,,OLD BERGEN RD,PEARSALL AVE,"ON 3-20-15 CLEANED THE NE CATCH BASIN.  ON 3-23-15 CLEANED THE SW AND NW CATCH BASINS

",3/23/2015,3/20/2015
SEWER MAINTENANCE,2015001929,,BARTHOLDI AVE,OLD BERGEN RD,"ON 3-20-15 	CLEANED THE NE CATCH BASIN.  ON 3-23-15 CLEANED THE NW CATCH BASIN.

",3/23/2015,3/20/2015
SEWER MAINTENANCE,2015001936,321,GROVE ST,NEWARK AVE,CLEANED THE CATCH BASIN,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001938,,GREENVILLE AVE,OLD BERGEN RD,"CLEANED THE SW AND NW CATCH BASINS
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001684,,BROWN PL,, MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. SENT 3959 BACK TO WSP NO HEAT IN TRUCK I PROCEEDED TO RICHARD ST.  ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001685,,BROWN PL,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001686,,RICHARD ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001688,,CLAREMONT AVE,CARTERET AVE,DIRTY GRIT BUILDUP. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001691,,MILL CREEK,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. PIT STOP LEFT ESP 11:40AM.  ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001692,,ESSEX ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD.CHAIN PENDING.  ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001693,,6TH ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001694,,14TH ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001695,,SECAUCUS RD,,REMOVED FLOATABLES DOWNSTREAM. . MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001696,,SAINT PAULS AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001697,,VAN WINKLE AVE,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001698,,BROADWAY,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS COLD. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001699,,DANFORTH AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001700,,DANFORTH AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001701,,DANFORTH AVE,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001702,,RICHARD ST,,". NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. NO GRATING, HANDRAIL OR CONCRETE SLAB.",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001703,,CLAREMONT AVE,CARTERET AVE,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. NO HANDRAIL. UNDERWATER BARSCREEN. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001704,,MILL CREEK,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE RAKE TO CLEAN BARSCREEN FROM BEHIND WEIR EXERCISE REGULATOR WASHED DOWN CHAMBER AS WELL AS WELL AS FLOAT PIT REMOVED DEBRIS OFF LADDER. ,3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001872,270,LUIS MUNOZ MARIN BLVD,MONTGOMERY ST,"ON 3-18-15 CLEANED THE CATCH BASIN.  ON 3-23-15 CLEANED THE SE CATCH BASIN

",3/23/2015,3/18/2015
SEWER MAINTENANCE,2015001668,257,CAMBRIDGE AV,,"OWNER MUST SEEK PLUMBER FOR THE PROBLEM.  MAIN SEWER IS FUNCTIONING PROPERLY.
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001452,204,10TH ST,,"THESE ARE ALL NEW MANHOLES THAT WHERE PUT IN AS AN EMERGNECY PROJECT.  INSPECTION REVEALED NO ISSUES.
",3/23/2015,3/13/2015
SEWER MAINTENANCE,2015001940,,LINDEN AVE,OLD BERGEN RD,"CLEANED THE SW AND NW CATCH BASINS
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001941,,DWIGHT ST,VAN CLEEF ST,"CLEANED THE SE AND SW CATCH BASINS
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001943,,FULTON AVE,VREELAND PL,"CLEANED THE NW AND NE CATCH BASINS
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001945,,RUTGERS AVE,WADE ST,"CLEANED THE SW, NW, SE AND NE CATCH BASINS
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015001608,,MARTIN LUTHER KING DR,VAN NOSTRAND AVE,"ON 3-13-15 CLEANED THE SE AND NE CATCH BASINS.  ON 3-23-15 CLEANED THE NW AND SW CATCH BASINS

",3/23/2015,3/13/2015
SEWER MAINTENANCE,2015001631,,LIBERTY AVE,NEWARK AVE,"ON 3-19 -15 THE NE CATCH BASIN CURB PIECE IS BROKEN, JUST SECURED THE AREA UNTIL CATCH BASIN CAN BE REPAIRED.  ON 3-23-15 USED NEW NUTS AND BOLTS TO INSTALL NEW 6-INCH CURB PIECE.

",3/23/2015,3/19/2015
SEWER MAINTENANCE,2015001639,20,THEODORE CONRAD DR,,"JETTED AND VACUUMED THE SEWER
",3/23/2015,3/19/2015
SEWER MAINTENANCE,2015001640,,NEW YORK AVE,RAVINE AVE,"THIS IS A PREVIOUS EXCAVATION DONE BY UNITED WATER NEAR THE WATER GATE VALVE.  SENT UNITED WATER AN E-MAIL ON 3-24-15 REGARDING THIS SITUATION.
",3/23/2015,3/19/2015
SEWER MAINTENANCE,2015001651,11,WOODLAWN AVE,,"OWNER MUST SEEK PLUMBER FOR THE PROBLEM.  MAIN SEWER IS FUNCTIONING PROPERLY.  OWNER IS ALSO COMPLAINING ABOUT LOW WATER PRESSURE.
",3/23/2015,3/23/2015
SEWER MAINTENANCE,2015000705,,CENTRAL AVE,HUTTON ST,"USED 1-BG OF CEMENT, 13-BLOCKS AND 27-BRICKS TO PERFORM THE NECESSARY BRICKWORK INSIDE THE NE CATCH BASIN.",3/24/2015,2/5/2015
SEWER MAINTENANCE,2015000706,,CENTRAL AVE,ZABRISKIE ST,"USED 7-BLOCKS, 30-BRICKS, 1-BAG OF CEMENT AND 20-SHOVELS OF SAND TO PERFORM THE NECESSARY BRICKWORK INSIDE THE SW CATCH BASIN.

",3/24/2015,2/5/2015
SEWER MAINTENANCE,2015000728,,CENTRAL AVE,PATERSON ST,"VACUUMED THE NW CATCH BASIN FOR THE CONSTRUCTION CREW.  USED 3-BLOCKS, 17-BRICKS, 1-BAG OF CEMENT AND 20-SHOVELS OF SAND TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH BASIN.
",3/24/2015,2/6/2015
